id,order_date,product,category,region,price,quantity,sales_amount,product_name,cost,profit_margin,total_revenue
1.0,08-12-2024,Foundation,Cosmetics,South,1146.43,1,1146.43,0,0.0,1146.4300537109375,1146.4300537109375
2.0,29-06-2024,Laptop,Electronics,North,1462.18,3,4386.54,0,0.0,1462.1800537109375,4386.5401611328125
3.0,23-09-2024,T-Shirt,Fashion,West,693.49,5,3467.45,0,0.0,693.489990234375,3467.449951171875
4.0,01-12-2024,Face Cream,Personal Care,South,1139.53,1,1139.53,0,0.0,1139.530029296875,1139.530029296875
5.0,24-12-2024,Shoes,Fashion,West,923.27,2,1846.54,0,0.0,923.27001953125,1846.5400390625
6.0,07-06-2024,Lipstick,Cosmetics,East,945.17,3,2835.51,0,0.0,945.1699829101562,2835.5099487304688
7.0,18-07-2024,Backpack,Accessories,East,176.32,3,528.96,0,0.0,176.32000732421875,528.9600219726562
8.0,19-06-2024,Laptop,Electronics,North,1383.79,1,1383.79,0,0.0,1383.7900390625,1383.7900390625
9.0,26-08-2024,T-Shirt,Fashion,West,764.35,4,3057.4,0,0.0,764.3499755859375,3057.39990234375
10.0,16-11-2024,Shoes,Fashion,North,1377.87,1,1377.87,0,0.0,1377.8699951171875,1377.8699951171875
11.0,07-06-2024,Shoes,Fashion,East,714.7,2,1429.4,0,0.0,714.7000122070312,1429.4000244140625
12.0,13-07-2024,Backpack,Accessories,South,42.0,4,168.0,0,0.0,42.0,168.0
13.0,22-01-2024,Shampoo,Personal Care,North,814.03,1,814.03,0,0.0,814.030029296875,814.030029296875
14.0,15-10-2024,Foundation,Cosmetics,South,782.33,5,3911.65,0,0.0,782.3300170898438,3911.6500854492188
15.0,25-08-2024,Laptop,Electronics,East,1102.88,2,2205.76,0,0.0,1102.8800048828125,2205.760009765625
16.0,21-04-2024,Lipstick,Cosmetics,South,568.13,3,1704.39,0,0.0,568.1300048828125,1704.3900146484375
17.0,24-02-2024,Shampoo,Personal Care,West,986.82,5,4934.1,0,0.0,986.8200073242188,4934.100036621094
18.0,20-05-2024,Lipstick,Cosmetics,East,931.86,4,3727.44,0,0.0,931.8599853515625,3727.43994140625
19.0,03-07-2024,Shampoo,Personal Care,West,598.44,4,2393.76,0,0.0,598.4400024414062,2393.760009765625
20.0,29-10-2024,Backpack,Accessories,West,16.41,3,49.23,0,0.0,16.40999984741211,49.22999954223633
21.0,02-09-2024,Smartphone,Electronics,South,41.17,4,164.68,0,0.0,41.16999816894531,164.67999267578125
22.0,17-02-2024,Foundation,Cosmetics,East,1027.39,3,3082.17,0,0.0,1027.3900146484375,3082.1700439453125
23.0,26-10-2024,Laptop,Electronics,West,192.98,3,578.94,0,0.0,192.97999572753906,578.9399871826172
24.0,25-01-2024,Smartphone,Electronics,West,254.98,4,1019.92,0,0.0,254.97999572753906,1019.9199829101562
25.0,17-05-2024,Foundation,Cosmetics,North,415.04,5,2075.2,0,0.0,415.0400085449219,2075.2000427246094
26.0,08-11-2024,Smartphone,Electronics,East,424.72,3,1274.16,0,0.0,424.7200012207031,1274.1600036621094
27.0,07-12-2024,Laptop,Electronics,South,710.61,5,3553.05,0,0.0,710.6099853515625,3553.0499267578125
28.0,18-02-2024,Headphones,Electronics,North,1041.61,3,3124.83,0,0.0,1041.6099853515625,3124.8299560546875
29.0,07-06-2024,Lipstick,Cosmetics,South,261.3,3,783.9,0,0.0,261.29998779296875,783.8999633789062
30.0,28-02-2024,Shampoo,Personal Care,North,1288.26,3,3864.78,0,0.0,1288.260009765625,3864.780029296875
31.0,02-03-2024,Face Cream,Personal Care,West,300.13,4,1200.52,0,0.0,300.1300048828125,1200.52001953125
32.0,16-02-2024,Shampoo,Personal Care,South,441.46,3,1324.38,0,0.0,441.4599914550781,1324.3799743652344
33.0,26-02-2024,Smartphone,Electronics,East,564.33,4,2257.32,0,0.0,564.3300170898438,2257.320068359375
34.0,11-03-2024,Headphones,Electronics,South,1326.31,5,6631.55,0,0.0,1326.31005859375,6631.55029296875
35.0,12-09-2024,Shoes,Fashion,West,176.48,1,176.48,0,0.0,176.47999572753906,176.47999572753906
36.0,16-12-2024,Shoes,Fashion,West,1332.36,5,6661.8,0,0.0,1332.3599853515625,6661.7999267578125
37.0,11-11-2024,T-Shirt,Fashion,East,118.35,4,473.4,0,0.0,118.3499984741211,473.3999938964844
38.0,21-04-2024,Face Cream,Personal Care,North,1434.36,5,7171.8,0,0.0,1434.3599853515625,7171.7999267578125
39.0,02-06-2024,Backpack,Accessories,North,254.76,5,1273.8,0,0.0,254.75999450683594,1273.7999725341797
40.0,22-10-2024,Foundation,Cosmetics,North,672.07,1,672.07,0,0.0,672.0700073242188,672.0700073242188
41.0,23-11-2024,Shoes,Fashion,South,851.27,5,4256.35,0,0.0,851.27001953125,4256.35009765625
42.0,14-04-2024,Foundation,Cosmetics,East,404.2,3,1212.6,0,0.0,404.20001220703125,1212.6000366210938
43.0,17-07-2024,Foundation,Cosmetics,West,544.17,4,2176.68,0,0.0,544.1699829101562,2176.679931640625
44.0,05-01-2024,Lipstick,Cosmetics,North,1033.91,4,4135.64,0,0.0,1033.9100341796875,4135.64013671875
45.0,31-12-2024,Face Cream,Personal Care,East,65.86,5,329.3,0,0.0,65.86000061035156,329.3000030517578
46.0,24-05-2024,Foundation,Cosmetics,East,838.97,2,1677.94,0,0.0,838.969970703125,1677.93994140625
47.0,20-06-2024,Foundation,Cosmetics,West,589.54,4,2358.16,0,0.0,589.5399780273438,2358.159912109375
48.0,23-08-2024,Foundation,Cosmetics,North,640.19,5,3200.95,0,0.0,640.1900024414062,3200.9500122070312
49.0,18-11-2024,Shoes,Fashion,South,976.77,3,2930.31,0,0.0,976.77001953125,2930.31005859375
50.0,24-06-2024,Shoes,Fashion,West,1203.8,4,4815.2,0,0.0,1203.800048828125,4815.2001953125
51.0,29-08-2024,Foundation,Cosmetics,East,237.66,2,475.32,0,0.0,237.66000366210938,475.32000732421875
52.0,19-05-2024,Shoes,Fashion,East,863.23,2,1726.46,0,0.0,863.22998046875,1726.4599609375
53.0,07-09-2024,Smartphone,Electronics,East,1066.94,3,3200.82,0,0.0,1066.93994140625,3200.81982421875
54.0,06-10-2024,Smartphone,Electronics,West,474.76,4,1899.04,0,0.0,474.760009765625,1899.0400390625
55.0,05-10-2024,Laptop,Electronics,East,1357.53,2,2715.06,0,0.0,1357.530029296875,2715.06005859375
56.0,22-10-2024,Smartphone,Electronics,North,1190.02,1,1190.02,0,0.0,1190.02001953125,1190.02001953125
57.0,10-03-2024,T-Shirt,Fashion,South,806.07,4,3224.28,0,0.0,806.0700073242188,3224.280029296875
58.0,19-09-2024,Smartphone,Electronics,South,541.93,5,2709.65,0,0.0,541.9299926757812,2709.6499633789062
59.0,28-04-2024,Headphones,Electronics,North,1255.45,3,3766.35,0,0.0,1255.449951171875,3766.349853515625
60.0,19-03-2024,Face Cream,Personal Care,East,640.68,3,1922.04,0,0.0,640.6799926757812,1922.0399780273438
61.0,13-05-2024,T-Shirt,Fashion,South,1004.1,1,1004.1,0,0.0,1004.0999755859375,1004.0999755859375
62.0,04-12-2024,Face Cream,Personal Care,South,690.65,5,3453.25,0,0.0,690.6500244140625,3453.2501220703125
63.0,31-12-2024,Backpack,Accessories,West,1332.71,4,5330.84,0,0.0,1332.7099609375,5330.83984375
64.0,18-12-2024,T-Shirt,Fashion,North,1021.93,3,3065.79,0,0.0,1021.9299926757812,3065.7899780273438
65.0,29-09-2024,Smartphone,Electronics,West,1313.41,4,5253.64,0,0.0,1313.4100341796875,5253.64013671875
66.0,04-10-2024,Shoes,Fashion,East,992.38,2,1984.76,0,0.0,992.3800048828125,1984.760009765625
67.0,11-08-2024,Foundation,Cosmetics,North,1344.11,3,4032.33,0,0.0,1344.1099853515625,4032.3299560546875
68.0,04-11-2024,Laptop,Electronics,North,255.91,2,511.82,0,0.0,255.91000366210938,511.82000732421875
69.0,31-03-2024,T-Shirt,Fashion,East,89.85,2,179.7,0,0.0,89.8499984741211,179.6999969482422
70.0,06-03-2024,Smartphone,Electronics,North,1400.63,5,7003.15,0,0.0,1400.6300048828125,7003.1500244140625
71.0,29-11-2024,Laptop,Electronics,South,1078.49,2,2156.98,0,0.0,1078.489990234375,2156.97998046875
72.0,27-12-2024,Foundation,Cosmetics,South,1065.24,5,5326.2,0,0.0,1065.239990234375,5326.199951171875
73.0,28-03-2024,Smartphone,Electronics,West,1421.59,1,1421.59,0,0.0,1421.5899658203125,1421.5899658203125
74.0,05-01-2024,Backpack,Accessories,West,1385.3,3,4155.9,0,0.0,1385.300048828125,4155.900146484375
75.0,14-01-2024,Lipstick,Cosmetics,East,1433.42,3,4300.26,0,0.0,1433.4200439453125,4300.2601318359375
76.0,22-07-2024,Laptop,Electronics,West,421.91,3,1265.73,0,0.0,421.9100036621094,1265.7300109863281
77.0,31-03-2024,T-Shirt,Fashion,North,949.62,2,1899.24,0,0.0,949.6199951171875,1899.239990234375
78.0,24-10-2024,Backpack,Accessories,East,1119.79,4,4479.16,0,0.0,1119.7900390625,4479.16015625
79.0,06-08-2024,Foundation,Cosmetics,North,221.73,2,443.46,0,0.0,221.72999572753906,443.4599914550781
80.0,18-05-2024,T-Shirt,Fashion,South,1133.5,4,4534.0,0,0.0,1133.5,4534.0
81.0,27-10-2024,Backpack,Accessories,South,1051.55,1,1051.55,0,0.0,1051.550048828125,1051.550048828125
82.0,18-04-2024,Smartphone,Electronics,South,1408.4,3,4225.2,0,0.0,1408.4000244140625,4225.2000732421875
83.0,07-05-2024,Foundation,Cosmetics,North,1445.48,3,4336.44,0,0.0,1445.47998046875,4336.43994140625
84.0,06-11-2024,T-Shirt,Fashion,South,326.74,5,1633.7,0,0.0,326.739990234375,1633.699951171875
85.0,24-08-2024,Lipstick,Cosmetics,South,1189.43,3,3568.29,0,0.0,1189.4300537109375,3568.2901611328125
86.0,23-01-2024,T-Shirt,Fashion,South,1355.34,3,4066.02,0,0.0,1355.3399658203125,4066.0198974609375
87.0,29-03-2024,Backpack,Accessories,East,936.13,3,2808.39,0,0.0,936.1300048828125,2808.3900146484375
88.0,05-06-2024,Foundation,Cosmetics,West,711.11,1,711.11,0,0.0,711.1099853515625,711.1099853515625
89.0,01-03-2024,Headphones,Electronics,East,252.03,2,504.06,0,0.0,252.02999877929688,504.05999755859375
90.0,07-02-2024,Laptop,Electronics,South,1475.18,5,7375.9,0,0.0,1475.1800537109375,7375.9002685546875
91.0,12-01-2024,Backpack,Accessories,South,678.25,5,3391.25,0,0.0,678.25,3391.25
92.0,22-11-2024,Face Cream,Personal Care,West,493.61,5,2468.05,0,0.0,493.6099853515625,2468.0499267578125
93.0,26-04-2024,Laptop,Electronics,South,139.27,5,696.35,0,0.0,139.27000427246094,696.3500213623047
94.0,07-04-2024,Shampoo,Personal Care,South,1370.76,4,5483.04,0,0.0,1370.760009765625,5483.0400390625
95.0,07-09-2024,Smartphone,Electronics,West,926.26,4,3705.04,0,0.0,926.260009765625,3705.0400390625
96.0,08-05-2024,Foundation,Cosmetics,East,70.77,2,141.54,0,0.0,70.7699966430664,141.5399932861328
97.0,01-04-2024,Shoes,Fashion,South,732.02,5,3660.1,0,0.0,732.02001953125,3660.10009765625
98.0,31-08-2024,Headphones,Electronics,South,231.52,4,926.08,0,0.0,231.52000427246094,926.0800170898438
99.0,16-04-2024,Shampoo,Personal Care,North,1181.25,4,4725.0,0,0.0,1181.25,4725.0
100.0,23-11-2024,Shampoo,Personal Care,South,192.4,5,962.0,0,0.0,192.39999389648438,961.9999694824219
101.0,28-05-2024,Headphones,Electronics,West,1044.14,2,2088.28,0,0.0,1044.1400146484375,2088.280029296875
102.0,04-11-2024,Shampoo,Personal Care,West,543.43,5,2717.15,0,0.0,543.4299926757812,2717.1499633789062
103.0,25-02-2024,Lipstick,Cosmetics,South,1147.26,3,3441.78,0,0.0,1147.260009765625,3441.780029296875
104.0,29-04-2024,Headphones,Electronics,South,87.61,1,87.61,0,0.0,87.61000061035156,87.61000061035156
105.0,11-10-2024,Foundation,Cosmetics,East,624.78,5,3123.9,0,0.0,624.780029296875,3123.900146484375
106.0,22-03-2024,Lipstick,Cosmetics,West,888.0,4,3552.0,0,0.0,888.0,3552.0
107.0,11-12-2024,Face Cream,Personal Care,East,265.74,5,1328.7,0,0.0,265.739990234375,1328.699951171875
108.0,21-05-2024,Face Cream,Personal Care,South,580.11,2,1160.22,0,0.0,580.1099853515625,1160.219970703125
109.0,27-09-2024,Lipstick,Cosmetics,South,1399.5,5,6997.5,0,0.0,1399.5,6997.5
110.0,24-05-2024,Foundation,Cosmetics,North,783.9,5,3919.5,0,0.0,783.9000244140625,3919.5001220703125
111.0,30-12-2024,Shoes,Fashion,East,1074.63,1,1074.63,0,0.0,1074.6300048828125,1074.6300048828125
112.0,17-04-2024,Shoes,Fashion,East,1050.86,5,5254.3,0,0.0,1050.8599853515625,5254.2999267578125
113.0,17-09-2024,Shampoo,Personal Care,East,1301.58,4,5206.32,0,0.0,1301.5799560546875,5206.31982421875
114.0,22-07-2024,Backpack,Accessories,West,876.83,5,4384.15,0,0.0,876.8300170898438,4384.150085449219
115.0,09-03-2024,T-Shirt,Fashion,North,218.52,1,218.52,0,0.0,218.52000427246094,218.52000427246094
116.0,10-10-2024,Headphones,Electronics,West,824.58,2,1649.16,0,0.0,824.5800170898438,1649.1600341796875
117.0,16-03-2024,Headphones,Electronics,West,966.88,5,4834.4,0,0.0,966.8800048828125,4834.4000244140625
118.0,10-09-2024,Shampoo,Personal Care,North,161.14,3,483.42,0,0.0,161.13999938964844,483.4199981689453
119.0,11-01-2024,Foundation,Cosmetics,South,186.72,5,933.6,0,0.0,186.72000122070312,933.6000061035156
120.0,05-06-2024,Smartphone,Electronics,West,155.89,5,779.45,0,0.0,155.88999938964844,779.4499969482422
121.0,23-09-2024,Shampoo,Personal Care,East,535.63,1,535.63,0,0.0,535.6300048828125,535.6300048828125
122.0,31-10-2024,Shoes,Fashion,West,268.74,5,1343.7,0,0.0,268.739990234375,1343.699951171875
123.0,17-02-2024,Shampoo,Personal Care,West,673.39,5,3366.95,0,0.0,673.3900146484375,3366.9500732421875
124.0,31-07-2024,Shoes,Fashion,North,1019.79,1,1019.79,0,0.0,1019.7899780273438,1019.7899780273438
125.0,06-08-2024,Shoes,Fashion,South,172.45,4,689.8,0,0.0,172.4499969482422,689.7999877929688
126.0,16-02-2024,Shoes,Fashion,East,398.67,2,797.34,0,0.0,398.6700134277344,797.3400268554688
127.0,24-11-2024,Backpack,Accessories,South,1075.14,3,3225.42,0,0.0,1075.1400146484375,3225.4200439453125
128.0,15-02-2024,Foundation,Cosmetics,South,1489.57,4,5958.28,0,0.0,1489.5699462890625,5958.27978515625
129.0,10-04-2024,Headphones,Electronics,South,867.5,1,867.5,0,0.0,867.5,867.5
130.0,02-02-2024,Face Cream,Personal Care,South,927.15,5,4635.75,0,0.0,927.1500244140625,4635.7501220703125
131.0,14-02-2024,T-Shirt,Fashion,South,1100.34,2,2200.68,0,0.0,1100.3399658203125,2200.679931640625
132.0,03-06-2024,Smartphone,Electronics,South,945.88,1,945.88,0,0.0,945.8800048828125,945.8800048828125
133.0,31-10-2024,T-Shirt,Fashion,North,610.94,1,610.94,0,0.0,610.9400024414062,610.9400024414062
134.0,28-09-2024,Headphones,Electronics,North,1268.25,4,5073.0,0,0.0,1268.25,5073.0
